Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
IGHA2	P01877	"Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		1.5	0.0
IGHD		"Immunoglobulin genes, Predicted membrane proteins"				1.5	0.0
IGHD1-1	P0DOY5	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHD1-14		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD1-20		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD1-26		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD1-7		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD1OR15-1A		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD1OR15-1B		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2-15		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2-2		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2-21		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2-8		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2OR15-2A		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD2OR15-2B		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3-10		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3-16		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3-22		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3-3		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3-9		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3OR15-3A		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD3OR15-3B		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4-11		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4-17		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4-23		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4-4		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4OR15-4A		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD4OR15-4B		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5-12		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5-18		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5-24		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5-5		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5OR15-5A		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD5OR15-5B		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD6-13		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD6-19		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD6-25		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD6-6		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHD7-27		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHE	P01854	"Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHG1	P01857	"Disease related genes, FDA approved drug targets, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		2.4	0.0
IGHG2	P01859	"FDA approved drug targets, Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		7.4	0.0
IGHG3		"Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"			0.2	0.0
IGHG4	P01861	"FDA approved drug targets, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHJ1	A0A0C4DH62	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHJ2		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHJ3		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHJ4		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHJ5		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHJ6		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHM	P01871	"Disease related genes, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.2	0.0
IGHMBP2	P38935	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				1.9	15.3
IGHV1-18	A0A0C4DH31	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		1.5	0.0
IGHV1-2	P23083	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-24	A0A0C4DH33	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-3	A0A0C4DH29	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-45	A0A0A0MS14	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-46	P01743	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-58	A0A0C4DH39	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-69	P01742	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-69-2	A0A0G2JMI3	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV1-69D	A0A0B4J2H0	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.2	0.0
IGHV1OR15-1		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV1OR15-9		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV1OR21-1		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV2-26	A0A0B4J1V2	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV2-5	P01817	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV2-70	P01814	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.2	0.0
IGHV2-70D	A0A0C4DH43	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV2OR16-5		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3-11	P01762	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-13	P01766	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-15	A0A0B4J1V0	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-16	A0A0C4DH30	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-20	A0A0C4DH32	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-21	A0A0B4J1V1	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-23	P01764	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-30	"P01768, P0DP03"	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-33	P01772	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.3	0.0
IGHV3-35	A0A0C4DH35	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-38	A0A0C4DH36	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-43	A0A0B4J1X8	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-48	P01763	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-49	A0A0A0MS15	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-53	P01767	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-64	A0A075B6Q5	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-64D	A0A0J9YX35	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-66	A0A0C4DH42	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-7	P01780	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-72	A0A0B4J1Y9	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-73	A0A0B4J1V6	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3-74	A0A0B4J1X5	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV3OR15-7		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-10		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-12		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-13		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-17		"Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-8		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV3OR16-9		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV4-28	A0A0C4DH34	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-31	A0A087WSY4	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-34	P06331	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-39	P01824	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-4	A0A075B6R2	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-59	P01825	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4-61	A0A0C4DH41	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV4OR15-8		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGHV5-10-1	A0A0J9YXX1	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.2	0.0
IGHV5-51	A0A0C4DH38	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV6-1	A0A0B4J1U7	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.2	0.0
IGHV7-4-1	A0A0J9YVY3	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV7-81	A0A0B4J1V7	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGHV8-51-1		"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"			0.0	0.0
IGIP	A6NJ69	"Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"No annotated function"		0.0	11.2
IGKC		"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"			1.5	0.0
IGKJ1	A0A0A0MT89	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKJ2		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGKJ3		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGKJ4		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGKJ5		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGKV1-12	A0A0C4DH73	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-16	P04430	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-17	P01599	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-27	A0A075B6S5	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-33	P01594	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-37	A0A075B6S9	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-39	P01597	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-5	P01602	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-6	A0A0C4DH72	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-8	A0A0C4DH67	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1-9	A0A0C4DH69	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-12	P01611	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-13	"A0A0B4J2D9, P0DP09"	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-16	P01601	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-17	A0A075B6S4	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-33	P01593	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-37	P0DSN7	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-39	P04432	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-42	A0A075B6H8	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-43	A0A0B4J1Z2	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1D-8	A0A087WSZ0	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV1OR2-108		"Immunoglobulin genes, Predicted intracellular proteins"				0.0	0.0
IGKV2-24	A0A0C4DH68	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2-28	A0A075B6P5	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2-30	P06310	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2-40	A0A087WW87	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-24	A0A075B6R9	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-26	A0A0A0MRZ7	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-28	P01615	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-29	A0A075B6S2	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-30	A0A075B6S6	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV2D-40	P01614	"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3-11	P04433	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3-15	P01624	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3-20	P01619	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3-7	A0A075B6H7	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3D-11	A0A0A0MRZ8	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
IGKV3D-15	A0A087WSY6	"Immunoglobulin genes, Predicted secreted proteins"	"Immunoglobulin genes"	Immunity		0.0	0.0
