gene,logFC,neg_log10_p,pi_score,adj_pval,direction
ACACA,0.3811,0.5118,0.638173,0.99973,NS
ALDH16A1,0.6171,0.3159,0.638361,0.99973,NS
SDHA,0.1902,1.0227,0.638926,0.99973,NS
RTN4IP1,-0.4105,0.4736,0.639108,0.99973,NS
SCP2,0.3324,0.5822,0.640445,0.99973,NS
TOMM40,0.354,0.5454,0.641088,0.99973,NS
MRPL40,-0.4749,0.4045,0.642531,0.99973,NS
HSD17B12,0.2746,0.6939,0.644814,0.99973,NS
AFG3L2,0.2229,0.8536,0.645259,0.99973,NS
PA2G4,-0.2407,0.7886,0.645909,0.99973,NS
NAGK,-0.3226,0.588,0.646128,0.99973,NS
ABCF2,-0.3413,0.5545,0.646751,0.99973,NS
PCCA,0.3057,0.6191,0.64677,0.99973,NS
DBI,-0.3412,0.5541,0.647056,0.99973,NS
GPD2,-0.2293,0.8242,0.647125,0.99973,NS
PSMD12,-0.2053,0.9187,0.647778,0.99973,NS
CS,0.1942,0.9688,0.648403,0.99973,NS
HLA-B,-0.3464,0.5429,0.648533,0.99973,NS
STOML2,0.252,0.7426,0.649979,0.99973,NS
SYNC,0.3301,0.5666,0.650049,0.99973,NS
FAM114A2,-0.2875,0.6481,0.651138,0.99973,NS
UBL5,-0.3608,0.5154,0.651729,0.99973,NS
NDUFA11,-0.3391,0.5472,0.652331,0.99973,NS
NIT1,-0.2593,0.7141,0.652858,0.99973,NS
UNC45B,0.2628,0.7047,0.652866,0.99973,NS
VARS1,0.2894,0.6377,0.653805,0.99973,NS
SLC25A11,-0.2672,0.6893,0.654327,0.99973,NS
COQ10B,-0.409,0.4493,0.655004,0.99973,NS
MAPKAPK2,0.2595,0.7082,0.655006,0.99973,NS
HLA-A,0.3438,0.5306,0.65701,0.99973,NS
PABPC4,-0.2415,0.7488,0.659403,0.99973,NS
PNPO,-0.2489,0.7239,0.660421,0.99973,NS
HBG2,-0.5757,0.3126,0.660806,0.99973,NS
PPIF,0.219,0.8197,0.661436,0.99973,NS
COA3,-0.322,0.5564,0.662021,0.99973,NS
AQP1,-0.3246,0.5515,0.662197,0.99973,NS
EIF3I,0.2539,0.7011,0.66372,0.99973,NS
CSRP3,0.2843,0.6256,0.664013,0.99973,NS
EIF4A2,-0.2129,0.8344,0.664299,0.99973,NS
SYPL1,-0.2723,0.6521,0.66439,0.99973,NS
MYLK,-0.4072,0.4359,0.664469,0.99973,NS
RPS27A,-0.331,0.5362,0.664558,0.99973,NS
MT-ND3,-0.3815,0.4643,0.665056,0.99973,NS
AOC3,-0.395,0.4451,0.667104,0.99973,NS
ACO2,0.2003,0.8715,0.669091,0.99973,NS
XRCC6,-0.2693,0.6461,0.66986,0.99973,NS
NDUFAF5,-0.3264,0.5326,0.67012,0.99973,NS
FAM136A,-0.3349,0.5185,0.670424,0.99973,NS
LYZ,-0.6614,0.2622,0.670816,0.99973,NS
GYS1,0.2034,0.8522,0.670927,0.99973,NS
RPIA,0.2966,0.5835,0.671356,0.99973,NS
TPSB2,0.3092,0.5581,0.672068,0.99973,NS
IMPDH2,-0.2265,0.7548,0.674596,0.99973,NS
MT-ND1,-0.3258,0.5247,0.674645,0.99973,NS
MAT2A,0.2438,0.6982,0.675676,0.99973,NS
MT-ND2,-0.3227,0.5273,0.675849,0.99973,NS
EYA3,-0.3298,0.5148,0.676381,0.99973,NS
HNRNPUL2,0.4024,0.4218,0.676486,0.99973,NS
MME,-0.4307,0.3928,0.677411,0.99973,NS
HDHD5,0.3001,0.5607,0.678801,0.99973,NS
NPM1,-0.2711,0.6183,0.679806,0.99973,NS
PSMB5,-0.1917,0.8644,0.6828,0.99973,NS
YWHAQ,0.2659,0.6214,0.683577,0.99973,NS
TIMM9,-0.3249,0.5071,0.684273,0.99973,NS
PSMB2,-0.2056,0.8007,0.684556,0.99973,NS
