gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
CNIH4,-0.0676,-0.2014,0.987205,0.84417,0.96017,NS,Concordant Down
RBBP4,-0.0095,0.2593,0.999743,0.737402,0.82243,NS,HR↓ LR↑
EPM2A,0.1346,-0.134,0.954741,0.940296,0.854325,NS,HR↑ LR↓
HSPA4,0.2486,-0.0192,0.634133,0.997957,0.690323,NS,HR↑ LR↓
EIF5A,-0.208,0.0598,0.712974,0.975944,0.657297,NS,HR↓ LR↑
MYOF,0.2194,-0.0483,0.776739,0.989145,0.757735,NS,HR↑ LR↓
HSD17B8,-0.0035,0.2639,0.99997,0.756464,0.844592,NS,HR↓ LR↑
GPS1,0.1992,-0.0672,0.788493,0.97505,0.724374,NS,HR↑ LR↓
HSDL2,0.171,0.0953,0.816134,0.937401,0.976421,NS,Concordant Up
FAM162A,0.1638,-0.1025,0.861701,0.939705,0.729103,NS,HR↑ LR↓
PTPN11,0.0523,0.2139,0.992102,0.853607,0.944233,NS,Concordant Up
CLTC,0.143,0.1229,0.897585,0.912053,0.998732,NS,Concordant Up
IMMT,0.1728,0.093,0.82342,0.944094,0.975202,NS,Concordant Up
SCFD1,0.2146,-0.0506,0.895606,0.993535,0.878998,NS,HR↑ LR↓
CAST,-0.1123,-0.1526,0.953849,0.895768,0.995934,NS,Concordant Down
TXNDC17,0.0952,0.1695,0.953063,0.809904,0.979723,NS,Concordant Up
NDUFS3,0.2534,0.0113,0.722355,0.999484,0.815505,NS,Concordant Up
MICOS13,-0.0024,-0.262,0.999987,0.781024,0.866398,NS,Concordant Down
NSFL1C,-0.1692,-0.0947,0.77157,0.9214,0.971446,NS,Concordant Down
XIRP1,-0.1297,0.1341,0.956127,0.94472,0.860014,NS,HR↓ LR↑
SNX3,0.2412,-0.0226,0.778271,0.998164,0.809446,NS,HR↑ LR↓
ACTR3,0.127,0.1349,0.943004,0.919453,0.999851,NS,Concordant Up
MDH1,-0.1457,0.1159,0.864593,0.9015,0.676358,NS,HR↓ LR↑
RPL22,0.1975,0.064,0.867884,0.985402,0.957531,NS,Concordant Up
ALDH4A1,0.189,0.0724,0.749989,0.961659,0.93524,NS,Concordant Up
GSTP1,-0.2068,-0.054,0.680344,0.978141,0.876986,NS,Concordant Down
NAPA,-0.2097,-0.0508,0.697225,0.982301,0.877154,NS,Concordant Down
HNRNPUL1,-0.0079,0.2526,0.999862,0.799707,0.869057,NS,HR↓ LR↑
STX7,0.1958,0.0646,0.849622,0.983483,0.95352,NS,Concordant Up
VDAC1,0.2438,-0.0165,0.636116,0.998457,0.697482,NS,HR↑ LR↓
CCT7,-0.1671,-0.0931,0.851286,0.949335,0.980734,NS,Concordant Down
YWHAB,-0.0989,-0.161,0.95789,0.859674,0.988314,NS,Concordant Down
MSN,-0.0746,0.1852,0.97641,0.808618,0.765967,NS,HR↓ LR↑
DLST,0.2232,0.0363,0.623813,0.990455,0.808873,NS,Concordant Up
PDAP1,0.2275,-0.0318,0.858831,0.997196,0.865163,NS,HR↑ LR↓
TXNRD1,0.0113,-0.2479,0.999363,0.5494,0.690887,NS,HR↑ LR↓
CACNB1,0.1368,0.1222,0.920296,0.925798,0.999422,NS,Concordant Up
AUH,0.0804,0.1786,0.975477,0.835254,0.972068,NS,Concordant Up
RYR1,0.1697,-0.0888,0.80167,0.94105,0.665381,NS,HR↑ LR↓
PPP1CB,-0.2501,0.0084,0.711729,0.999696,0.775489,NS,HR↓ LR↑
PSMD1,-0.2446,-0.0135,0.653742,0.999025,0.774556,NS,Concordant Down
ACO2,-0.0596,0.1982,0.978259,0.669781,0.65904,NS,HR↓ LR↑
FAM98A,0.2466,0.0108,0.845507,0.999716,0.898322,NS,Concordant Up
DNM2,0.2314,0.0254,0.7511,0.996967,0.854759,NS,Concordant Up
RSU1,0.1215,0.1341,0.918095,0.880053,0.999454,NS,Concordant Up
SERPING1,0.1888,0.0666,0.923469,0.990038,0.977438,NS,Concordant Up
CLIP1,0.1111,-0.1442,0.933604,0.862439,0.72772,NS,HR↑ LR↓
PGM5,0.1191,0.1362,0.954719,0.929244,0.999373,NS,Concordant Up
CLIC6,-0.0653,-0.19,0.991198,0.904206,0.975154,NS,Concordant Down
MSRB2,-0.235,-0.02,0.848844,0.998705,0.901291,NS,Concordant Down
IGKV3-15,-0.0809,-0.1739,0.987482,0.928386,0.987605,NS,Concordant Down
CES2,-0.1347,-0.1198,0.947641,0.954716,0.999586,NS,Concordant Down
NIPSNAP2,-0.0751,0.1793,0.974663,0.810029,0.76232,NS,HR↓ LR↑
EIF4G2,-0.25,-0.0042,0.869421,0.999958,0.902878,NS,Concordant Down
FLNC,-0.1305,-0.1237,0.900231,0.894268,0.999837,NS,Concordant Down
ISOC1,-0.1465,-0.1064,0.933827,0.960302,0.996644,NS,Concordant Down
TBCA,-0.1106,-0.1422,0.946304,0.891673,0.997085,NS,Concordant Down
NDUFA4,-0.1156,-0.1372,0.95553,0.924813,0.998956,NS,Concordant Down
COPS8,-0.022,0.2306,0.998282,0.730489,0.800176,NS,HR↓ LR↑
PBXIP1,-0.2292,-0.0231,0.748772,0.99757,0.853518,NS,Concordant Down
UBE2I,0.1536,-0.0984,0.92061,0.963423,0.838464,NS,HR↑ LR↓
PIN1,0.0946,-0.1568,0.955464,0.83639,0.744629,NS,HR↑ LR↓
TPT1,0.1112,0.1401,0.936863,0.877418,0.997209,NS,Concordant Up
GPAT3,0.0438,-0.2073,0.995401,0.863209,0.874607,NS,HR↑ LR↓
HDHD2,-0.2013,-0.0488,0.865721,0.991465,0.944021,NS,Concordant Down
APEX1,-0.0583,0.1915,0.989758,0.854725,0.845023,NS,HR↓ LR↑
NDUFB11,0.0012,0.2486,0.999996,0.743396,0.842764,NS,Concordant Up
PSMB6,-0.0737,-0.176,0.983959,0.882844,0.976619,NS,Concordant Down
TLN2,-0.0517,-0.1977,0.992941,0.86572,0.955459,NS,Concordant Down
MYOM1,0.2334,0.0157,0.876527,0.999432,0.92165,NS,Concordant Up
TUBB6,0.0969,0.151,0.973298,0.919106,0.994012,NS,Concordant Up
RPL19,0.2268,0.0196,0.889486,0.999122,0.931693,NS,Concordant Up
DDX19A,0.1345,0.1117,0.912531,0.930319,0.998395,NS,Concordant Up
RPL23A,0.204,-0.0421,0.872965,0.99444,0.86369,NS,HR↑ LR↓
IQGAP1,0.0776,0.168,0.985694,0.907403,0.984923,NS,Concordant Up
TUFM,-0.0189,0.2264,0.99805,0.583187,0.696282,NS,HR↓ LR↑
RUVBL2,0.176,-0.0685,0.909605,0.984042,0.865253,NS,HR↑ LR↓
SH3GLB1,-0.2132,-0.0309,0.814334,0.996303,0.904293,NS,Concordant Down
TXNL1,-0.1289,-0.1151,0.89449,0.901619,0.999265,NS,Concordant Down
GCSH,0.2027,-0.0406,0.839366,0.993531,0.830306,NS,HR↑ LR↓
PRDX1,-0.1204,-0.1221,0.910203,0.890048,0.999989,NS,Concordant Down
AKR1A1,-0.1203,0.122,0.942496,0.930096,0.81964,NS,HR↓ LR↑
HNRNPA2B1,0.1415,-0.1003,0.950519,0.971682,0.889808,NS,HR↑ LR↓
MSI2,0.204,0.0375,0.822033,0.993735,0.913785,NS,Concordant Up
FTH1,-0.0921,0.1493,0.980727,0.938073,0.895492,NS,HR↓ LR↑
TACO1,0.2386,-0.0027,0.759505,0.999971,0.821077,NS,HR↑ LR↓
ACY1,0.1129,0.1283,0.940121,0.906813,0.999274,NS,Concordant Up
DYSF,-0.1019,0.1389,0.917869,0.809161,0.646199,NS,HR↓ LR↑
EHBP1L1,-0.1903,0.0505,0.890247,0.990914,0.863172,NS,HR↓ LR↑
RPL18,0.1378,0.1029,0.939001,0.961193,0.997364,NS,Concordant Up
GPD2,-0.0117,-0.229,0.999398,0.657198,0.809917,NS,Concordant Down
NTPCR,-0.106,-0.1344,0.961583,0.930826,0.998175,NS,Concordant Down
HUWE1,-0.0658,0.1745,0.989069,0.896741,0.879503,NS,HR↓ LR↑
MYL1,-0.0946,-0.1449,0.982875,0.951505,0.996492,NS,Concordant Down
ACADSB,0.125,0.1144,0.941708,0.943038,0.999725,NS,Concordant Up
SURF1,0.0949,0.1445,0.972728,0.922237,0.994694,NS,Concordant Up
RTCB,-0.2039,0.0355,0.759889,0.99295,0.75935,NS,HR↓ LR↑
HNRNPK,-0.1957,-0.0434,0.792332,0.989881,0.911459,NS,Concordant Down
AK1,-0.0809,-0.1579,0.954947,0.775256,0.970686,NS,Concordant Down
IGLC2,0.1335,-0.1051,0.963023,0.973662,0.909597,NS,HR↑ LR↓
H1-0,0.2099,-0.0286,0.940564,0.998841,0.94338,NS,HR↑ LR↓
PFKM,0.1651,-0.0733,0.751702,0.948476,0.627886,NS,HR↑ LR↓
RPL24,0.1962,-0.0422,0.911542,0.995326,0.899573,NS,HR↑ LR↓
CCT6A,-0.1987,-0.0392,0.81311,0.992781,0.914734,NS,Concordant Down
SRL,0.1653,-0.0725,0.883527,0.975986,0.820429,NS,HR↑ LR↓
ATP1A2,0.1767,0.0606,0.795491,0.975424,0.939551,NS,Concordant Up
RNF123,0.2019,-0.0354,0.78448,0.993563,0.783211,NS,HR↑ LR↓
RPS15A,0.1578,0.0787,0.878431,0.967287,0.979459,NS,Concordant Up
TUBB,0.0061,0.2301,0.999865,0.719972,0.836855,NS,Concordant Up
MAPK12,-0.1681,-0.068,0.89736,0.982054,0.97472,NS,Concordant Down
ATP5MC2,-0.073,0.1628,0.993684,0.968467,0.952757,NS,HR↓ LR↑
EEF2,-0.1974,0.0384,0.701599,0.989139,0.692075,NS,HR↓ LR↑
UBE2V1,-0.1149,0.1208,0.931179,0.909281,0.775984,NS,HR↓ LR↑
HSPG2,-0.1263,0.1094,0.959115,0.965723,0.892218,NS,HR↓ LR↑
CSDE1,-0.1259,0.1093,0.93604,0.944019,0.82844,NS,HR↓ LR↑
OGDH,-0.0405,0.1947,0.987631,0.589185,0.632839,NS,HR↓ LR↑
CUTC,-0.0838,-0.1513,0.96576,0.856908,0.984056,NS,Concordant Down
MRPS17,-0.1329,0.1022,0.952094,0.968269,0.886389,NS,HR↓ LR↑
RPLP2,0.1085,0.1259,0.958696,0.933368,0.999288,NS,Concordant Up
IL18,-0.0994,-0.1349,0.987377,0.961942,0.998692,NS,Concordant Down
IDH3G,0.1071,0.127,0.938395,0.894718,0.998623,NS,Concordant Up
CNPY2,0.1487,-0.0849,0.949983,0.977404,0.898411,NS,HR↑ LR↓
DNPEP,-0.1568,-0.0767,0.852833,0.962311,0.97441,NS,Concordant Down
PHKA1,0.1616,0.0709,0.893461,0.978046,0.976914,NS,Concordant Up
ACADS,0.1626,-0.0696,0.924689,0.985035,0.884829,NS,HR↑ LR↓
L2HGDH,0.1037,-0.1284,0.960911,0.927635,0.846374,NS,HR↑ LR↓
RPS3A,-0.1401,-0.0911,0.924929,0.964404,0.99383,NS,Concordant Down
PSMA5,-0.1297,-0.101,0.861195,0.903675,0.995871,NS,Concordant Down
MAOA,-0.0262,0.2043,0.998092,0.84664,0.875996,NS,HR↓ LR↑
ALDH2,-0.2067,-0.023,0.890879,0.998628,0.937485,NS,Concordant Down
EIF4G1,-0.125,-0.1046,0.927337,0.941315,0.998743,NS,Concordant Down
LMCD1,-0.1436,-0.0856,0.904359,0.96247,0.989585,NS,Concordant Down
MRPL38,0.2087,0.0204,0.92918,0.998881,0.950513,NS,Concordant Up
PADI2,-0.1562,0.0721,0.895303,0.975965,0.832712,NS,HR↓ LR↑
MT-ND4,0.2017,-0.0265,0.879252,0.997968,0.888184,NS,HR↑ LR↓
PGM1,-0.1092,-0.1189,0.914349,0.877519,0.999591,NS,Concordant Down
PPA1,0.1566,0.0708,0.854259,0.968437,0.970642,NS,Concordant Up
FN3K,-0.2206,-0.0068,0.813452,0.999834,0.872982,NS,Concordant Down
YKT6,-0.2157,0.0114,0.844866,0.999584,0.875055,NS,HR↓ LR↑
EIF3J,-0.0791,-0.1475,0.968654,0.859608,0.983098,NS,Concordant Down
FBP2,0.1725,-0.054,0.872543,0.987082,0.837508,NS,HR↑ LR↓
ACSL1,0.0918,0.1341,0.948243,0.861093,0.992591,NS,Concordant Up
ORM1,0.2056,-0.0198,0.892124,0.99899,0.904667,NS,HR↑ LR↓
TRIM72,-0.1336,0.0915,0.888936,0.941671,0.762597,NS,HR↓ LR↑
LRRC47,0.1941,0.031,0.776602,0.994555,0.888095,NS,Concordant Up
CCT2,-0.2201,-0.0038,0.771429,0.999936,0.840278,NS,Concordant Down
CYB5R3,0.1981,0.0252,0.792902,0.996795,0.887514,NS,Concordant Up
EEF1A1,-0.1323,0.0905,0.931633,0.963941,0.85229,NS,HR↓ LR↑
PLEC,-0.1258,0.097,0.948621,0.965084,0.876481,NS,HR↓ LR↑
COQ8A,0.1869,0.0346,0.768103,0.992363,0.891539,NS,Concordant Up
CCT4,-0.1805,-0.0407,0.786501,0.989385,0.91052,NS,Concordant Down
LARS1,0.0365,0.1843,0.99444,0.809554,0.925369,NS,Concordant Up
ALDH5A1,0.1487,0.0719,0.884964,0.971176,0.979318,NS,Concordant Up
SMTN,0.1036,-0.1165,0.96215,0.944962,0.868484,NS,HR↑ LR↓
NAE1,-0.119,-0.1008,0.948801,0.955321,0.999187,NS,Concordant Down
RPL10A,-0.0386,0.1808,0.997076,0.917131,0.922799,NS,HR↓ LR↑
DCTN2,0.0982,0.121,0.946543,0.900676,0.998107,NS,Concordant Up
BDH1,0.1932,-0.0258,0.887518,0.997976,0.893706,NS,HR↑ LR↓
UQCRQ,0.1884,-0.0305,0.863684,0.996447,0.865012,NS,HR↑ LR↓
GPX3,-0.1034,-0.115,0.972929,0.959831,0.999763,NS,Concordant Down
GYG1,0.0973,0.1208,0.960416,0.925952,0.998442,NS,Concordant Up
SNTB2,0.1344,-0.0837,0.936161,0.972316,0.872192,NS,HR↑ LR↓
IDH1,-0.1501,-0.0676,0.920381,0.982537,0.983325,NS,Concordant Down
RBM38,0.1532,-0.0638,0.930269,0.984369,0.887216,NS,HR↑ LR↓
ATP5PF,-0.0447,-0.1721,0.9906,0.806597,0.937721,NS,Concordant Down
ALDH1A1,0.1109,-0.1054,0.959692,0.957445,0.881161,NS,HR↑ LR↓
ATAD3A,0.1799,-0.0363,0.914737,0.995166,0.897975,NS,HR↑ LR↓
CAND2,0.1858,0.0302,0.862486,0.996399,0.931176,NS,Concordant Up
BLMH,0.2069,0.009,0.768966,0.999585,0.844285,NS,Concordant Up
EIF2S3,0.0953,-0.1205,0.952725,0.907579,0.808447,NS,HR↑ LR↓
BTF3L4,0.1181,0.0972,0.948035,0.959463,0.998917,NS,Concordant Up
PSMC5,0.0246,0.19,0.99597,0.639042,0.834654,NS,Concordant Up
PYGM,0.0956,0.1189,0.934787,0.875695,0.997536,NS,Concordant Up
CST3,0.1769,-0.0369,0.932227,0.996383,0.92166,NS,HR↑ LR↓
GPX1,0.045,-0.1687,0.991161,0.829371,0.830039,NS,HR↑ LR↓
MBNL1,-0.0816,-0.132,0.971588,0.905473,0.992299,NS,Concordant Down
LTA4H,0.1067,-0.1057,0.928687,0.91713,0.780827,NS,HR↑ LR↓
PSMB1,0.1006,-0.1115,0.935858,0.904882,0.776851,NS,HR↑ LR↓
ENO2,0.009,0.2026,0.999849,0.899428,0.9428,NS,Concordant Up
PRKAA2,0.1429,0.068,0.884933,0.972182,0.978788,NS,Concordant Up
TALDO1,0.1311,-0.0794,0.917964,0.966759,0.839797,NS,HR↑ LR↓
PGRMC2,-0.0909,-0.1194,0.959352,0.91387,0.997311,NS,Concordant Down
COPS6,-0.1785,-0.0317,0.79758,0.993896,0.903576,NS,Concordant Down
PFN1,0.1458,-0.0642,0.892057,0.977724,0.832605,NS,HR↑ LR↓
PSMA1,0.1184,-0.0908,0.91,0.939645,0.785408,NS,HR↑ LR↓
PAFAH1B2,0.1724,-0.0368,0.899264,0.995077,0.888057,NS,HR↑ LR↓
ABHD14B,-0.092,0.1171,0.956323,0.913387,0.821137,NS,HR↓ LR↑
EEA1,0.0114,-0.1977,0.999654,0.848325,0.897803,NS,HR↑ LR↓
CUL3,0.0085,-0.2005,0.999758,0.805154,0.86981,NS,HR↑ LR↓
DNPH1,-0.1363,0.0722,0.958535,0.9867,0.925647,NS,HR↓ LR↑
NDUFA8,0.1741,-0.0344,0.88641,0.9955,0.879894,NS,HR↑ LR↓
PSMB5,0.0164,-0.1919,0.998419,0.67136,0.762772,NS,HR↑ LR↓
ETF1,0.1519,-0.0561,0.890726,0.985425,0.852272,NS,HR↑ LR↓
PDIA6,-0.0892,-0.1185,0.969159,0.933704,0.997716,NS,Concordant Down
NDUFS1,0.2031,-0.0044,0.778445,0.999908,0.832782,NS,HR↑ LR↓
COQ9,-0.1007,0.1057,0.938549,0.919007,0.798037,NS,HR↓ LR↑
UGGT1,-0.2037,-0.0021,0.854416,0.999982,0.890065,NS,Concordant Down
GSTZ1,0.1945,0.0108,0.903824,0.999688,0.936166,NS,Concordant Up
SEC24C,-0.1223,-0.0825,0.96218,0.97466,0.99694,NS,Concordant Down
RPS3,0.1752,0.0296,0.843235,0.995642,0.923388,NS,Concordant Up
GOT1,-0.1709,-0.0338,0.766867,0.991357,0.895158,NS,Concordant Down
C11orf54,0.0198,-0.1845,0.998592,0.827048,0.869165,NS,HR↑ LR↓
FXR1,-0.1803,0.0239,0.898868,0.998315,0.907548,NS,HR↓ LR↑
IDI1,0.2021,-0.0018,0.827286,0.999987,0.872557,NS,HR↑ LR↓
AARS1,0.1243,-0.0795,0.94597,0.974306,0.887496,NS,HR↑ LR↓
LNPK,0.1586,-0.0447,0.917346,0.992452,0.894857,NS,HR↑ LR↓
PAFAH1B1,-0.1488,-0.0544,0.86053,0.980846,0.961835,NS,Concordant Down
CDC37,0.1718,-0.0314,0.917532,0.997241,0.915923,NS,HR↑ LR↓
ALDH3A2,-0.2027,-3e-4,0.868005,1,0.904222,NS,Concordant Down
BZW2,0.1496,-0.053,0.901138,0.987014,0.864927,NS,HR↑ LR↓
RDX,-0.0717,-0.1306,0.965695,0.851653,0.983551,NS,Concordant Down
EEF1B2,-0.1684,0.0335,0.882961,0.995344,0.876138,NS,HR↓ LR↑
MTHFD1,-0.1622,-0.0395,0.812063,0.989118,0.925548,NS,Concordant Down
PFDN5,-0.0936,-0.1075,0.970117,0.950432,0.999541,NS,Concordant Down
IARS2,0.0649,0.1356,0.976975,0.867998,0.979825,NS,Concordant Up
PDCL3,-0.1438,0.0563,0.968448,0.990057,0.94435500000000006,NS,HR↓ LR↑
HINT3,0.1179,-0.0822,0.930788,0.962142,0.847481,NS,HR↑ LR↓
STIM1,0.1022,0.0977,0.970048,0.965253,0.999959,NS,Concordant Up
PCBD1,-0.0851,-0.1137,0.96239,0.917168,0.997122,NS,Concordant Down
SRI,0.0564,0.1421,0.995159,0.944738,0.990365,NS,Concordant Up
RPL10,-0.0345,0.1637,0.997676,0.929906,0.93647,NS,HR↓ LR↑
ARHGDIA,-0.1834,0.0148,0.793667,0.998757,0.82539,NS,HR↓ LR↑
USP14,-0.1388,0.0593,0.868172,0.97486,0.800332,NS,HR↓ LR↑
FITM2,-0.0571,-0.1404,0.992631,0.941597,0.987906,NS,Concordant Down
HSP90AB1,0.0981,0.0989,0.93697,0.923911,0.999998,NS,Concordant Up
MYOM2,0.0163,-0.1802,0.999253,0.873717,0.906798,NS,HR↑ LR↓
SLC44A2,-0.0826,-0.1137,0.986764,0.9522,0.99843,NS,Concordant Down
COPS2,0.1146,0.0816,0.935335,0.962985,0.996467,NS,Concordant Up
GLRX3,-0.0493,0.1457,0.99207,0.909499,0.89748000000000006,NS,HR↓ LR↑
PPP3CB,-0.0678,-0.1268,0.978912,0.905645,0.988389,NS,Concordant Down
RAB9A,0.0305,-0.164,0.99724,0.878296,0.900873,NS,HR↑ LR↓
CASQ1,-0.0961,-0.0979,0.941492,0.927802,0.999988,NS,Concordant Down
TBC1D17,-0.1245,-0.0695,0.966984,0.988461,0.995425,NS,Concordant Down
PDLIM7,-0.1364,-0.0576,0.972446,0.994258,0.993189,NS,Concordant Down
MAPK9,0.1329,-0.061,0.96648,0.991688,0.944709,NS,HR↑ LR↓
SGCD,0.191,-0.0027,0.765567,0.999958,0.826113,NS,HR↑ LR↓
KARS1,-0.0407,-0.1516,0.992088,0.848528,0.952581,NS,Concordant Down
ATP5F1D,0.1035,0.0887,0.969898,0.974441,0.999578,NS,Concordant Up
ALDH6A1,0.0096,-0.1821,0.999736,0.861689,0.908031,NS,HR↑ LR↓
GSPT1,0.1663,0.0252,0.877919,0.997236,0.937458,NS,Concordant Up
GNPDA1,0.0671,-0.1237,0.972883,0.880118,0.819278,NS,HR↑ LR↓
IMPA1,0.02,-0.1707,0.998557,0.85154,0.885585,NS,HR↑ LR↓
ST13,-0.0542,-0.1359,0.981374,0.840679,0.967549,NS,Concordant Down
GDI1,-0.167,0.0221,0.7855,0.996547,0.800804,NS,HR↓ LR↑
ETFDH,0.1027,0.086,0.942661,0.953667,0.999018,NS,Concordant Up
MYH14,-5e-4,0.188,0.999999,0.777056,0.863455,NS,HR↓ LR↑
GSS,-0.1767,-0.0115,0.867005,0.999477,0.917719,NS,Concordant Down
PRKAB2,0.0899,-0.098,0.975084,0.964487,0.914368,NS,HR↑ LR↓
NDUFA13,0.0831,0.1046,0.972982,0.948163,0.99875100000000006,NS,Concordant Up
RPS14,0.0979,0.0883,0.977784,0.979454,0.999853,NS,Concordant Up
RPS21,0.0213,0.1649,0.998662,0.890219,0.94926,NS,Concordant Up
HNRNPR,0.1225,0.0627,0.927177,0.979302,0.988241,NS,Concordant Up
SPRYD4,0.0525,0.1324,0.989605,0.914093,0.981633,NS,Concordant Up
PSMA7,0.125,-0.0594,0.905222,0.977227,0.844919,NS,HR↑ LR↓
SERPINB6,0.0922,-0.0919,0.974513,0.970338,0.920891,NS,HR↑ LR↓
MMUT,0.0468,0.1371,0.98945,0.882724,0.96983,NS,Concordant Up
CLIP2,-0.0997,0.084,0.963146,0.970878,0.904568,NS,HR↓ LR↑
TECR,0.1655,-0.0179,0.930376,0.999239,0.939854,NS,HR↑ LR↓
ECHDC1,0.0572,-0.1259,0.992961,0.958798,0.943104,NS,HR↑ LR↓
CALM1,-0.0465,-0.1364,0.991314,0.900825,0.97467,NS,Concordant Down
GMFB,0.1412,0.0398,0.963219,0.996766,0.986103,NS,Concordant Up
SRM,0.0187,0.1622,0.999432,0.943795,0.972866,NS,Concordant Up
TATDN1,-0.1568,0.0233,0.928714,0.998386,0.930497,NS,HR↓ LR↑
GPD1L,0.1619,-0.0182,0.872399,0.998448,0.884785,NS,HR↑ LR↓
PRPS1,0.1001,0.0797,0.964494,0.974185,0.998998,NS,Concordant Up
RPL7A,0.0339,-0.1457,0.99734,0.936657,0.938961,NS,HR↑ LR↓
PPP5C,-0.1699,0.0096,0.823271,0.999483,0.857388,NS,HR↓ LR↑
TMED1,-0.0393,0.1395,0.996599,0.940614,0.941013,NS,HR↓ LR↑
SEPTIN11,-0.0879,0.0908,0.982909,0.97992,0.946704,NS,HR↓ LR↑
MAOB,0.1623,0.0157,0.905771,0.999125,0.944595,NS,Concordant Up
NDUFA9,-0.0988,-0.0792,0.963399,0.973045,0.999022,NS,Concordant Down
MAVS,-0.0901,-0.0879,0.971583,0.963397,0.999988,NS,Concordant Down
OBSCN,0.0589,0.118,0.990093,0.9504,0.992561,NS,Concordant Up
PSMD14,0.0355,-0.1413,0.993987,0.867789,0.871354,NS,HR↑ LR↓
MYL6,-0.102,0.0747,0.973306,0.983639,0.938436,NS,HR↓ LR↑
PRDX6,0.0236,-0.153,0.996957,0.812251,0.84682,NS,HR↑ LR↓
PSMC4,-0.0242,0.1523,0.996892,0.820507,0.852163,NS,HR↓ LR↑
HSP90B1,-0.1513,0.0243,0.901223,0.997472,0.902213,NS,HR↓ LR↑
SGCB,0.042,0.1335,0.992603,0.903886,0.972841,NS,Concordant Up
SELENBP1,0.0279,-0.1469,0.99729,0.89801,0.909821,NS,HR↑ LR↓
PRDX5,-0.1563,0.0185,0.824922,0.997731,0.841205,NS,HR↓ LR↑
GPI,-0.1715,-0.003,0.769617,0.999938,0.840876,NS,Concordant Down
FAHD2A,-0.0527,0.1218,0.992285,0.940404,0.927908,NS,HR↓ LR↑
APEH,-0.1337,-0.0406,0.850924,0.98641,0.950983,NS,Concordant Down
PHKB,0.1044,0.0698,0.961342,0.980528,0.997084,NS,Concordant Up
TNS1,0.0126,0.1614,0.999621,0.904982,0.953799,NS,Concordant Up
PABPC1,-0.0216,0.152,0.99824,0.878306,0.901677,NS,HR↓ LR↑
SUB1,-0.1724,-0.0011,0.855502,0.999995,0.89705,NS,Concordant Down
ATP5PD,0.035,0.1381,0.993506,0.85819,0.953887,NS,Concordant Up
HYOU1,0.0278,-0.1451,0.997841,0.917438,0.92875,NS,HR↑ LR↓
ECHS1,-0.0398,0.1326,0.991156,0.863772,0.856734,NS,HR↓ LR↑
LRRC20,0.0335,-0.1387,0.996364,0.917174,0.919671,NS,HR↑ LR↓
SLC25A12,0.1208,-0.0507,0.916934,0.984562,0.874181,NS,HR↑ LR↓
UBE3A,-0.1662,0.0047,0.908612,0.999931,0.931161,NS,HR↓ LR↑
LANCL2,-0.0105,-0.1604,0.999616,0.859898,0.92942,NS,Concordant Down
ITGB1,0.1371,-0.0336,0.915332,0.994811,0.902696,NS,HR↑ LR↓
FDPS,-0.1696,0.001,0.821951,0.999994,0.870394,NS,HR↓ LR↑
ISCA2,-0.0739,-0.0966,0.983834,0.968028,0.998937,NS,Concordant Down
QKI,-0.1648,0.0055,0.888519,0.999883,0.914611,NS,HR↓ LR↑
DHRS7,-0.0771,0.0922,0.972442,0.952597,0.89453800000000006,NS,HR↓ LR↑
GPT,-0.0743,-0.0946,0.976899,0.954576,0.998803,NS,Concordant Down
CISD1,-0.0245,0.1443,0.996957,0.847861,0.871931,NS,HR↓ LR↑
IDE,-0.092,0.0762,0.951049,0.961281,0.872457,NS,HR↓ LR↑
MIEN1,0.1374,0.0305,0.956119,0.997358,0.979664,NS,Concordant Up
CAVIN2,-0.1054,-0.0618,0.960489,0.984852,0.995332,NS,Concordant Down
GAMT,-0.1403,0.0268,0.901007,0.996415,0.89663,NS,HR↓ LR↑
PHB2,0.1167,0.0496,0.905354,0.982147,0.979,NS,Concordant Up
GLO1,-0.132,-0.0336,0.901953,0.993633,0.962013,NS,Concordant Down
LDHD,-0.0791,0.0865,0.98028,0.972093,0.932252,NS,HR↓ LR↑
COPS4,0.064,0.1015,0.975968,0.923517,0.994208,NS,Concordant Up
PPP1R1A,-0.0963,0.0692,0.979814,0.987947,0.954042,NS,HR↓ LR↑
RPN1,-0.134,-0.0314,0.920388,0.995544,0.967053,NS,Concordant Down
RHOA,-0.0423,0.1225,0.991321,0.90253,0.888883,NS,HR↓ LR↑
RUVBL1,0.1415,0.0231,0.922901,0.997758,0.960022,NS,Concordant Up
NIT2,-0.0066,0.1574,0.999844,0.871985,0.914683,NS,HR↓ LR↑
ACOT13,-1e-4,0.1636,1,0.856887,0.912487,NS,HR↓ LR↑
UBA3,0.1037,-0.0585,0.955161,0.983392,0.914386,NS,HR↑ LR↓
ATP5F1C,-0.0365,0.1256,0.992878,0.883719,0.879141,NS,HR↓ LR↑
OLA1,-0.1109,0.0509,0.927325,0.983751,0.883253,NS,HR↓ LR↑
TPPP3,-0.15,-0.0117,0.977764,0.999825,0.985035,NS,Concordant Down
IVD,0.1586,0.003,0.914792,0.999971,0.94032,NS,Concordant Up
PLIN2,0.1255,0.0361,0.967947,0.997278,0.988493,NS,Concordant Up
UTRN,0.1149,0.0464,0.971597,0.993716,0.992149,NS,Concordant Up
BPNT1,-0.1082,0.053,0.964805,0.987072,0.933099,NS,HR↓ LR↑
