"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"wgcna","blue","d_myovision_fcsa_I","baseline",15,0.210846493794931,0.0444562439456158,0.450667279706721,0.998961668261752
"wgcna","blue","d_myovision_fcsa_I","tracks",16,-0.00475870221174988,0.181979274012467,0.973303019029428,0.998961668261752
"wgcna","brown","comp_hypertrophy","acute",15,0.299615674120939,0.0897695521789447,0.277962877640081,0.820859123030865
"wgcna","brown","comp_hypertrophy","baseline",15,-0.0999064256067963,0.00998129387752628,0.723147210896189,0.998961668261752
"wgcna","brown","comp_hypertrophy","tracks",16,-0.00562880628601747,0.0791022268937137,0.970229017309597,0.998961668261752
"wgcna","brown","d_1rm_ext","acute",14,0.0297445222632585,0.000884736604669483,0.919599253437974,0.998961668261752
"wgcna","brown","d_1rm_ext","baseline",14,-0.489563390468096,0.239672313286617,0.0755953185700665,0.585796459092599
"wgcna","brown","d_1rm_ext","tracks",15,0.0158662589218586,0.0403603832708994,0.921249304020968,0.998961668261752
"wgcna","brown","d_1rm_legpress","acute",15,0.121271012070978,0.0147066583687192,0.666810917987943,0.998961668261752
"wgcna","brown","d_1rm_legpress","baseline",15,0.19404740632572,0.0376543959017391,0.48832534687623,0.998961668261752
"wgcna","brown","d_1rm_legpress","tracks",16,-0.0107457870118472,0.079185842013372,0.943232079447845,0.998961668261752
"wgcna","brown","d_fcsa_I","acute",15,0.238483490246941,0.0568743751203626,0.392018056270529,0.992672932613471
"wgcna","brown","d_fcsa_I","baseline",15,-0.0174273839860119,0.000303713712595902,0.950846039853397,0.998961668261752
"wgcna","brown","d_fcsa_I","tracks",16,-0.00359880955457078,0.0790835066480599,0.980960723437702,0.998961668261752
"wgcna","brown","d_fcsa_II","acute",15,0.243705798183544,0.0593925160682784,0.381416078974953,0.987501903099537
"wgcna","brown","d_fcsa_II","baseline",15,-0.0164984387569733,0.000272198481417598,0.953463443093787,0.998961668261752
"wgcna","brown","d_fcsa_II","tracks",16,-0.00536994021284638,0.079099382119344,0.971597030451281,0.998961668261752
"wgcna","brown","d_mcsa","acute",15,0.214292950124686,0.0459214684731411,0.443125166934491,0.998961668261752
"wgcna","brown","d_mcsa","baseline",15,-0.0304704419171792,0.000928447830628189,0.914156401639212,0.998961668261752
"wgcna","brown","d_mcsa","tracks",16,0.00123569171746984,0.079072084484662,0.993461596568761,0.998961668261752
"wgcna","brown","d_myovision_fcsa_I","acute",15,0.35377402330158,0.125156059562987,0.195797514618451,0.656219671099026
"wgcna","brown","d_myovision_fcsa_I","baseline",15,0.278047867995741,0.0773106168969773,0.315657811628791,0.914899815315483
"wgcna","brown","d_myovision_fcsa_I","tracks",16,0.00893706493824688,0.079150338911958,0.952763570377752,0.998961668261752
"wgcna","green","comp_hypertrophy","acute",15,-0.608476459591923,0.370243601877521,0.0160833726198876,0.506626237526459
"wgcna","green","comp_hypertrophy","baseline",15,0.314778777128121,0.0990856785302754,0.253155429738852,0.784366823289231
"wgcna","green","comp_hypertrophy","tracks",16,-0.0060998824498101,0.381172834261423,0.960650318722923,0.998961668261752
"wgcna","green","d_1rm_ext","acute",14,0.0162562482449945,0.000264265607002884,0.956013204044007,0.998961668261752
"wgcna","green","d_1rm_ext","baseline",14,0.434637002954141,0.188909324336958,0.120415999832583,0.592213702791083
"wgcna","green","d_1rm_ext","tracks",15,0.0245698467377705,0.361796150206219,0.851116651940556,0.998961668261752
"wgcna","green","d_1rm_legpress","acute",15,-0.187819075132242,0.0352760049835307,0.502654788884294,0.998961668261752
