gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
CNBP,-0.0303,-0.2901,0.99619,0.493054,0.74693,NS,Concordant Down
CYB5R3,0.1155,0.2048,0.933672,0.738001,0.972064,NS,Concordant Up
LDB3,0.2672,-0.053,0.66590800000000006,0.986649,0.652818,NS,HR↑ LR↓
LRRC47,0.2845,0.0357,0.534075,0.992681,0.732909,NS,Concordant Up
P4HB,0.2787,0.041,0.472681,0.988355,0.707769,NS,Concordant Up
SGCB,0.1884,-0.1307,0.82556,0.904536,0.637851,NS,HR↑ LR↓
PSMA1,-0.2399,-0.0787,0.613829,0.955696,0.875346,NS,Concordant Down
ALDH1A1,-0.2877,0.0308,0.709706,0.996708,0.739992,NS,HR↓ LR↑
HDGF,0.2321,-0.0859,0.740891,0.962227,0.650162,NS,HR↑ LR↓
ADSL,-0.1539,-0.1638,0.897008,0.860738,0.999728,NS,Concordant Down
RACK1,0.2015,0.1162,0.833464,0.938358,0.979981,NS,Concordant Up
CISD1,0.0965,-0.2211,0.945831,0.636422,0.551146,NS,HR↑ LR↓
PGK1,-0.1389,-0.1784,0.855616,0.710844,0.992743,NS,Concordant Down
SLIRP,-0.2913,0.0259,0.648625,0.997153,0.688849,NS,HR↓ LR↑
TNNC2,0.194,0.1227,0.894334,0.95238,0.990272,NS,Concordant Up
EIF4G1,-0.1645,-0.1521,0.869981,0.869503,0.999541,NS,Concordant Down
ACSL1,-0.2892,-0.027,0.466529,0.995383,0.665921,NS,Concordant Down
RPS19,0.2975,0.0182,0.666986,0.99879,0.784084,NS,Concordant Up
KPNA6,-0.2762,-0.0393,0.683595,0.993623,0.830086,NS,Concordant Down
CHCHD2,-0.0672,-0.248,0.989047,0.805571,0.937116,NS,Concordant Down
PPP2CA,0.2764,-0.0387,0.483961,0.989788,0.512201,NS,HR↑ LR↓
UBA1,0.311,-0.0031,0.417942,0.999944,0.548806,NS,HR↑ LR↓
NDUFB3,-0.2039,-0.1099,0.822507,0.943092,0.974557,NS,Concordant Down
PFDN5,-0.2999,0.0136,0.650877,0.999331,0.724097,NS,HR↓ LR↑
ANXA11,-0.2155,-0.0977,0.572317,0.901097,0.911287,NS,Concordant Down
EIF5,-0.0048,-0.3079,0.999928,0.589257,0.748145,NS,Concordant Down
CSTB,0.1694,-0.1428,0.862574,0.886475,0.657282,NS,HR↑ LR↓
EIF3A,0.234,0.0773,0.71423,0.967202,0.909837,NS,Concordant Up
GNPDA1,-0.1743,0.1365,0.791547,0.852033,0.533796,NS,HR↓ LR↑
UFD1,0.118,0.1914,0.942881,0.81274,0.984592,NS,Concordant Up
TUFM,-0.153,-0.1562,0.83961,0.80079,0.999959,NS,Concordant Down
CFL1,0.2605,0.0476,0.627329,0.987504,0.818236,NS,Concordant Up
CACNA2D1,0.0634,-0.2441,0.978498,0.575285,0.58756,NS,HR↑ LR↓
CALD1,-0.1345,0.1728,0.967248,0.942626,0.874854,NS,HR↓ LR↑
STXBP3,-0.2559,0.0511,0.728768,0.988477,0.710159,NS,HR↓ LR↑
GRHPR,-0.1618,-0.1452,0.798905,0.809394,0.998769,NS,Concordant Down
SORD,-0.2002,0.1065,0.879112,0.959731,0.784081,NS,HR↓ LR↑
ETFB,-0.1549,-0.1511,0.861059,0.843551,0.999949,NS,Concordant Down
ALDOA,-0.2464,-0.0594,0.503831,0.969649,0.786748,NS,Concordant Down
PDLIM5,0.0913,0.2144,0.974433,0.819644,0.964971,NS,Concordant Up
LTA4H,-0.1333,0.1722,0.885159,0.765835,0.558811,NS,HR↓ LR↑
TMEM205,0.296,-0.0094,0.660044,0.999672,0.734249,NS,HR↑ LR↓
MAPK9,0.0219,-0.2835,0.999154,0.825478,0.867523,NS,HR↑ LR↓
DNM2,-0.2125,0.0928,0.790549,0.954607,0.679786,NS,HR↓ LR↑
RPS27,-0.2546,0.0503,0.831498,0.992853,0.818726,NS,HR↓ LR↑
TSFM,0.0514,-0.2534,0.988688,0.626165,0.66598,NS,HR↑ LR↓
FNTA,-0.0933,-0.2107,0.972131,0.822187,0.967239,NS,Concordant Down
PNPO,-0.2814,-0.0224,0.659094,0.997803,0.783519,NS,Concordant Down
MAT2A,0.0809,0.2228,0.973363,0.735038,0.936524,NS,Concordant Up
CAP2,0.2347,-0.0687,0.815345,0.98339,0.773807,NS,HR↑ LR↓
DGLUCY,0.2631,-0.0402,0.845847,0.99595,0.843524,NS,HR↑ LR↓
RDH11,0.0127,0.2903,0.999508,0.674711,0.803565,NS,Concordant Up
PRMT5,-0.2097,-0.0931,0.762486,0.948788,0.94962,NS,Concordant Down
LANCL2,-0.0366,0.2662,0.994756,0.628538,0.695823,NS,HR↓ LR↑
UBAC1,-0.2505,-0.0522,0.649003,0.984605,0.840765,NS,Concordant Down
SURF1,-0.2782,-0.0243,0.75736,0.998072,0.849522,NS,Concordant Down
SRL,-0.1723,0.1294,0.872782,0.917977,0.711148,NS,HR↓ LR↑
IARS2,-0.1684,-0.1333,0.824167,0.872639,0.995292,NS,Concordant Down
PCBD2,-0.2188,-0.0821,0.704502,0.955857,0.919985,NS,Concordant Down
PTGR2,-0.2163,-0.0845,0.753057,0.959883,0.936727,NS,Concordant Down
JPH2,0.1462,-0.1539,0.960713,0.950682,0.875087,NS,HR↑ LR↓
ACSL3,0.196,-0.1035,0.754429,0.924562,0.591874,NS,HR↑ LR↓
CALR,0.1254,0.1735,0.937434,0.853092,0.993775,NS,Concordant Up
SARS1,0.2617,0.0364,0.841031,0.996972,0.916062,NS,Concordant Up
PTRHD1,0.1445,-0.1534,0.933777,0.918697,0.79285,NS,HR↑ LR↓
DLD,-0.2025,-0.0951,0.662801,0.918444,0.935931,NS,Concordant Down
MTIF2,-0.1327,0.1646,0.937657,0.889567,0.764864,NS,HR↓ LR↑
SNX3,0.147,-0.1501,0.920844,0.902219,0.754491,NS,HR↑ LR↓
CUTA,-0.2739,0.023,0.600626,0.997297,0.656616,NS,HR↓ LR↑
ATP5PF,-0.2937,-0.0032,0.534341,0.999948,0.660524,NS,Concordant Down
TMED10,0.2814,0.0143,0.709052,0.999274,0.808254,NS,Concordant Up
MAP3K20,0.0494,0.2463,0.986597,0.545152,0.818223,NS,Concordant Up
EPS15L1,0.1393,0.1563,0.955277,0.937765,0.999559,NS,Concordant Up
HDHD2,-0.2627,0.0326,0.768665,0.99629,0.781833,NS,HR↓ LR↑
MAPRE2,0.1345,-0.1606,0.933019,0.884927,0.752983,NS,HR↑ LR↓
PPP2R2A,-0.0482,-0.2463,0.986132,0.50839,0.799027,NS,Concordant Down
MRPS28,0.2451,0.0493,0.827626,0.99275,0.920577,NS,Concordant Up
KRAS,0.0451,-0.2487,0.994314,0.71918,0.782928,NS,HR↑ LR↓
BCKDHB,0.0172,0.2761,0.999599,0.872919,0.927573,NS,Concordant Up
NNT,-0.2585,-0.0346,0.596664,0.992957,0.777332,NS,Concordant Down
EIF4H,0.1733,0.1196,0.822109,0.903981,0.989122,NS,Concordant Up
PRKAA1,-0.011,-0.2817,0.999548,0.578213,0.754385,NS,Concordant Down
ATP6V1A,0.072,0.2197,0.98405,0.795119,0.94637,NS,Concordant Up
CMPK1,-0.2677,0.0236,0.862179,0.998846,0.877239,NS,HR↓ LR↑
EYA3,0.1422,0.1488,0.955965,0.93469,0.999932,NS,Concordant Up
EIF4EBP1,-0.047,-0.2437,0.996815,0.872661,0.953083,NS,Concordant Down
GAPDH,-0.1787,-0.1115,0.770145,0.899587,0.979228,NS,Concordant Down
PRDX4,0.0356,-0.2546,0.99515,0.654955,0.721969,NS,HR↑ LR↓
ATL2,-0.1032,-0.1861,0.974939,0.899184,0.988183,NS,Concordant Down
DNAJA2,0.1625,-0.1259,0.860186,0.903615,0.675323,NS,HR↑ LR↓
ASPH,-0.0805,0.2079,0.987075,0.889971,0.866836,NS,HR↓ LR↑
CUTC,-0.264,-0.0243,0.626271,0.996981,0.773771,NS,Concordant Down
GSTZ1,0.2083,0.0797,0.889108,0.981569,0.969518,NS,Concordant Up
GDI2,0.2097,0.0783,0.649515,0.948085,0.904446,NS,Concordant Up
ADH5,0.0817,-0.2058,0.965761,0.714637,0.659811,NS,HR↑ LR↓
MAPKAPK2,0.0947,-0.1925,0.967346,0.824597,0.759213,NS,HR↑ LR↓
SLC25A13,-0.2301,0.056,0.774093,0.98639,0.74558,NS,HR↓ LR↑
BLMH,-0.2031,0.0823,0.777576,0.959138,0.675101,NS,HR↓ LR↑
PSMD10,0.0387,-0.2464,0.995242,0.734858,0.779853,NS,HR↑ LR↓
ECHS1,-0.1066,-0.1778,0.928323,0.747802,0.97799,NS,Concordant Down
EIF5A,0.2161,0.068,0.690286,0.968342,0.897932,NS,Concordant Up
SLC25A12,-0.2574,-0.0265,0.60679399999999994,0.996008,0.767488,NS,Concordant Down
PDXK,0.0369,0.2468,0.995412,0.716003,0.874072,NS,Concordant Up
MACROD1,-0.1513,-0.132,0.874786,0.888868,0.998741,NS,Concordant Down
SNRPD3,-0.2031,-0.0794,0.884327,0.979959,0.969214,NS,Concordant Down
PRDX6,0.185,0.0971,0.765333,0.929213,0.965146,NS,Concordant Up
ACOT9,0.2494,0.0327,0.792637,0.996436,0.886857,NS,Concordant Up
OPA1,-0.1247,-0.157,0.950148,0.904602,0.997739,NS,Concordant Down
PSMC3,0.2122,-0.0683,0.729522,0.971041,0.659401,NS,HR↑ LR↓
PGM1,-0.1891,-0.0913,0.726943,0.930958,0.951418,NS,Concordant Down
ADPRH,0.0103,-0.2697,0.999819,0.825807,0.885788,NS,HR↑ LR↓
ITGA7,-0.1051,-0.1736,0.961938,0.870638,0.988529,NS,Concordant Down
ATP1A1,-0.236,0.0426,0.686236,0.989915,0.683105,NS,HR↓ LR↑
SLC16A1,-0.1942,-0.084,0.888478,0.977343,0.974949,NS,Concordant Down
DTD1,0.0851,-0.193,0.978507,0.864343,0.818741,NS,HR↑ LR↓
GSK3B,-0.1471,-0.1298,0.937729,0.942837,0.999426,NS,Concordant Down
PSMB3,0.1158,0.1611,0.956839,0.897999,0.995433,NS,Concordant Up
NAXD,-0.1973,-0.0794,0.819708,0.969004,0.955741,NS,Concordant Down
MYH1,0.0509,0.2239,0.996699,0.91975,0.970077,NS,Concordant Up
RALA,-0.2094,-0.065,0.781183,0.977135,0.925685,NS,Concordant Down
SOD3,-0.1295,-0.1436,0.972129,0.951274,0.999754,NS,Concordant Down
PGAM1,-0.2053,0.0675,0.710646,0.967731,0.633402,NS,HR↓ LR↑
ASAH1,-0.2274,-0.0448,0.836501,0.993416,0.923982,NS,Concordant Down
CBR1,0.234,-0.0375,0.747001,0.993625,0.752118,NS,HR↑ LR↓
FITM2,0.134,0.1372,0.95396,0.944325,0.999982,NS,Concordant Up
CLIP1,0.2214,-0.0496,0.717859,0.985881,0.693878,NS,HR↑ LR↓
PLEC,0.2433,-0.0275,0.796783,0.99744,0.815974,NS,HR↑ LR↓
TLN2,0.27,7e-4,0.782459,0.999999,0.842284,NS,Concordant Up
CSNK2A1,-0.2284,-0.0422,0.786277,0.99286,0.899199,NS,Concordant Down
MAVS,-0.053,-0.2174,0.990596,0.767267,0.923931,NS,Concordant Down
SUMO2,0.0173,-0.253,0.999034,0.747427,0.805574,NS,HR↑ LR↓
UBE2D3,-0.1813,-0.088,0.872262,0.967306,0.976878,NS,Concordant Down
RPIA,0.231,-0.0374,0.830194,0.995586,0.83327,NS,HR↑ LR↓
KPNA4,0.2017,0.0656,0.803406,0.978443,0.937736,NS,Concordant Up
COPS6,-0.1725,-0.0948,0.811595,0.937637,0.974992,NS,Concordant Down
ACAA2,-0.1414,-0.1258,0.854989,0.865551,0.99895,NS,Concordant Down
CLUH,-0.1611,-0.106,0.915951,0.950585,0.992893,NS,Concordant Down
LUM,-5e-4,-0.2665,0.999999,0.718381,0.825729,NS,Concordant Down
MEMO1,0.0426,0.2241,0.995978,0.875025,0.945014,NS,Concordant Up
PABPC1,0.2575,-0.0088,0.696027,0.999672,0.762792,NS,HR↑ LR↓
RPS16,0.236,0.0302,0.717526,0.995551,0.844988,NS,Concordant Up
GRSF1,-0.0635,0.2027,0.987205,0.804132,0.805305,NS,HR↓ LR↑
RPS18,0.1947,0.0711,0.850505,0.978941,0.958112,NS,Concordant Up
CHP1,0.2586,0.0069,0.729728,0.999827,0.818542,NS,Concordant Up
CD59,-0.1357,-0.1298,0.949182,0.945525,0.999937,NS,Concordant Down
ACOT1,-0.1708,-0.0946,0.94955,0.979193,0.992366,NS,Concordant Down
ATP1B1,-0.1574,-0.10780000000000001,0.887318,0.940376,0.99268,NS,Concordant Down
ETFRF1,-0.0836,0.1816,0.989107,0.943284,0.917575,NS,HR↓ LR↑
USP14,0.1381,0.1267,0.869598,0.870859,0.999475,NS,Concordant Up
PSMC1,0.2117,-0.0522,0.710627,0.982417,0.675173,NS,HR↑ LR↓
CNIH4,0.0124,0.2512,0.99961,0.764224,0.873006,NS,Concordant Up
PSMB5,-0.2595,0.0039,0.50954,0.999902,0.624723,NS,HR↓ LR↑
MOGS,0.1083,0.155,0.981739,0.960355,0.997666,NS,Concordant Up
RPS21,0.1742,-0.0882,0.89575,0.970708,0.823192,NS,HR↑ LR↓
ECPAS,0.0251,-0.2371,0.996872,0.597978,0.694738,NS,HR↑ LR↓
MCCC1,0.2003,-0.0617,0.890375,0.988321,0.857354,NS,HR↑ LR↓
CDH13,-0.1344,-0.1261,0.939759,0.937886,0.999851,NS,Concordant Down
PFKM,-0.2013,-0.0588,0.631427,0.968078,0.869679,NS,Concordant Down
TWF2,-0.1103,0.1496,0.956304,0.901916,0.810139,NS,HR↓ LR↑
SCCPDH,-0.1273,-0.1316,0.920937,0.899451,0.999944,NS,Concordant Down
RBM38,-0.1791,0.0798,0.881008,0.976051,0.820189,NS,HR↓ LR↑
EIF2S1,0.0645,-0.1941,0.978747,0.739404,0.715737,NS,HR↑ LR↓
HSPA4,0.1793,-0.0793,0.809699,0.960427,0.710775,NS,HR↑ LR↓
CBR4,-0.1866,0.0719,0.861738,0.979019,0.80698,NS,HR↓ LR↑
EIF3F,0.1985,-0.0597,0.773911,0.979938,0.72632,NS,HR↑ LR↓
KIF5B,0.2263,0.0319,0.719789,0.99465,0.851375,NS,Concordant Up
FN3K,-0.1539,0.104,0.91198,0.954682,0.813427,NS,HR↓ LR↑
ISCA2,-0.0465,-0.211,0.993776,0.828671,0.93706,NS,Concordant Down
ENO3,-0.2414,0.016,0.648334,0.998575,0.708643,NS,HR↓ LR↑
SYNM,-0.2292,0.028,0.885553,0.998244,0.893746,NS,HR↓ LR↑
ARF1,0.0177,0.2391,0.998848,0.697844,0.840651,NS,Concordant Up
ATP5F1A,-0.2249,-0.0313,0.594556,0.99256200000000006,0.780657,NS,Concordant Down
IDE,-0.184,-0.0721,0.786,0.965659,0.946174,NS,Concordant Down
APOBEC2,-0.1585,-0.0976,0.908641,0.961336,0.990902,NS,Concordant Down
GSR,0.1301,0.1256,0.905827,0.896345,0.999931,NS,Concordant Up
WDR1,-0.098,0.1576,0.950201,0.837442,0.732405,NS,HR↓ LR↑
GYS1,-0.1512,-0.1043,0.853487,0.921458,0.991065,NS,Concordant Down
CAMK2A,-0.1684,0.087,0.919173,0.976204,0.860285,NS,HR↓ LR↑
MRPL1,0.0902,-0.1647,0.988178,0.959117,0.931187,NS,HR↑ LR↓
SPTAN1,0.2121,-0.0425,0.87642,0.994796,0.867787,NS,HR↑ LR↓
MLIP,0.1393,0.1149,0.958978,0.967531,0.999129,NS,Concordant Up
RAC1,0.2393,-0.0123,0.720273,0.999315,0.774988,NS,HR↑ LR↓
RPL19,0.1603,0.0911,0.939355,0.978891,0.99221,NS,Concordant Up
MRPS23,-0.1229,-0.1279,0.957123,0.939488,0.999949,NS,Concordant Down
PPIL3,0.0904,-0.1604,0.982215,0.937365,0.896246,NS,HR↑ LR↓
NDUFA9,0.0915,-0.1584,0.968856,0.882678,0.814618,NS,HR↑ LR↓
NARS1,0.2334,0.0162,0.716408,0.998724,0.822201,NS,Concordant Up
FERMT2,-0.0077,-0.2416,0.99984,0.777204,0.871041,NS,Concordant Down
GAMT,-0.0801,-0.1692,0.969963,0.825742,0.97256,NS,Concordant Down
UBXN1,-0.2462,0.0029,0.736194,0.999965,0.803305,NS,HR↓ LR↑
DDB1,0.2162,-0.0327,0.664368,0.992716,0.678023,NS,HR↑ LR↓
ADPRHL1,-0.02,-0.2288,0.998868,0.792734,0.894063,NS,Concordant Down
RPS9,0.0368,0.2116,0.997223,0.879409,0.949369,NS,Concordant Up
AHCY,0.1561,0.0917,0.846034,0.941627,0.982954,NS,Concordant Up
MT-ND4,-0.0915,0.155,0.976897,0.920904,0.868938,NS,HR↓ LR↑
FAH,0.0835,-0.163,0.970311,0.860224,0.794485,NS,HR↑ LR↓
CCT2,0.1586,-0.0879,0.88428,0.961038,0.791175,NS,HR↑ LR↓
ETHE1,0.0555,0.1908,0.989838,0.811072,0.949005,NS,Concordant Up
COL6A2,0.0311,-0.215,0.998919,0.932483,0.944889,NS,HR↑ LR↓
NDUFS1,-0.1851,-0.0607,0.817105,0.979788,0.942874,NS,Concordant Down
SNTB2,-0.2079,-0.0375,0.840661,0.994791,0.923547,NS,Concordant Down
YWHAB,0.1486,0.0966,0.900106,0.952752,0.991923,NS,Concordant Up
CD36,-0.0705,-0.1743,0.987934,0.906606,0.980153,NS,Concordant Down
CDNF,-0.0226,0.2222,0.998842,0.846342,0.884599,NS,HR↓ LR↑
STBD1,0.0229,-0.2219,0.998205,0.761908,0.820911,NS,HR↑ LR↓
MGST3,0.1736,-0.071,0.920391,0.985542,0.881652,NS,HR↑ LR↓
GSPT1,-0.1844,-0.0595,0.856207,0.983642,0.953024,NS,Concordant Down
NAPA,0.2121,-0.0317,0.690377,0.993444,0.703648,NS,HR↑ LR↓
HADHA,0.0062,-0.2374,0.999757,0.455761,0.633965,NS,HR↑ LR↓
UBA2,0.085,0.1577,0.975729,0.8964,0.987144,NS,Concordant Up
SLC25A4,-0.2054,0.0362,0.772704,0.99312,0.771075,NS,HR↓ LR↑
SBDS,0.06,-0.1813,0.984422,0.808659,0.789551,NS,HR↑ LR↓
CUL3,0.1241,0.1169,0.939893,0.939872,0.999869,NS,Concordant Up
AKR7A2,0.0026,0.2373,0.999982,0.796482,0.876939,NS,Concordant Up
ADK,-0.1573,0.0814,0.910476,0.973774,0.845219,NS,HR↓ LR↑
EIF2A,0.0435,0.195,0.994035,0.910379,0.957175,NS,Concordant Up
MYOF,-0.1454,-0.0931,0.905448,0.956736,0.991881,NS,Concordant Down
NDUFB1,-0.2013,-0.0371,0.85034,0.994881,0.928966,NS,Concordant Down
PPME1,-0.1215,0.1167,0.965072,0.962357,0.896431,NS,HR↓ LR↑
DCTN1,0.0085,-0.2295,0.9997,0.677082,0.785609,NS,HR↑ LR↓
DHRS7C,-0.1247,-0.113,0.948872,0.951074,0.999703,NS,Concordant Down
PAICS,-0.0387,0.1987,0.992605,0.722509,0.756522,NS,HR↓ LR↑
HIBADH,-0.2262,0.0109,0.668509,0.999307,0.735211,NS,HR↓ LR↑
PPP1CB,-0.0383,-0.1985,0.994277,0.786544,0.916683,NS,Concordant Down
TMED5,0.1681,0.0687,0.923517,0.985697,0.980901,NS,Concordant Up
IAH1,-0.133,-0.1033,0.947128,0.963498,0.998208,NS,Concordant Down
UQCRC2,-0.141,-0.0939,0.881541,0.9413,0.991478,NS,Concordant Down
ECI1,-0.2298,-0.005,0.605314,0.999834,0.723751,NS,Concordant Down
ELOB,-0.1317,-0.1018,0.904916,0.935188,0.996857,NS,Concordant Down
EIF3G,0.0854,0.148,0.979651,0.924315,0.99206,NS,Concordant Up
UBE2V1,-0.1982,0.0349,0.78259,0.993463,0.781078,NS,HR↓ LR↑
ATP5F1B,-0.0172,-0.2158,0.997958,0.516867,0.743009,NS,Concordant Down
LACTB2,0.0899,-0.1422,0.980468,0.93471,0.893429,NS,HR↑ LR↓
PDCD6,-0.1686,0.0634,0.895882,0.981237,0.842139,NS,HR↓ LR↑
DARS1,-0.0172,0.2148,0.999025,0.782716,0.84359,NS,HR↓ LR↑
IVD,0.1045,-0.1272,0.964604,0.936941,0.863675,NS,HR↑ LR↓
ANXA6,0.0918,-0.1388,0.930851,0.79877,0.657685,NS,HR↑ LR↓
HSD17B12,-0.1364,-0.094,0.93031,0.962641,0.995482,NS,Concordant Down
SEPTIN11,-0.0979,0.1325,0.979777,0.960641,0.91712,NS,HR↓ LR↑
PSMC5,-0.0483,-0.1819,0.983475,0.668253,0.894825,NS,Concordant Down
PUDP,-0.0058,-0.2237,0.999923,0.849801,0.909874,NS,Concordant Down
EEF1G,0.0928,-0.1364,0.949783,0.863765,0.756641,NS,HR↑ LR↓
KYAT1,-0.1994,0.0297,0.911468,0.997575,0.907152,NS,HR↓ LR↑
PDCD5,-0.061,0.1674,0.986746,0.869057,0.846761,NS,HR↓ LR↑
ATAD1,-0.0543,-0.1728,0.990258,0.869771,0.963641,NS,Concordant Down
MRPL55,-0.0832,0.1439,0.984044,0.944834,0.908293,NS,HR↓ LR↑
VAPB,0.1237,-0.1033,0.951886,0.961229,0.875323,NS,HR↑ LR↓
PSMD13,-0.0375,-0.1893,0.994565,0.807187,0.925786,NS,Concordant Down
C1QBP,-0.1205,0.1062,0.910715,0.919191,0.758373,NS,HR↓ LR↑
YKT6,0.0232,0.2031,0.998378,0.840255,0.920104,NS,Concordant Up
HARS1,-0.1715,0.054,0.816783,0.98226,0.771774,NS,HR↓ LR↑
RPN2,0.1348,-0.0906,0.927509,0.963162,0.845838,NS,HR↑ LR↓
GPI,-0.0939,-0.1309,0.936329,0.844752,0.99352,NS,Concordant Down
ERP29,-0.0923,0.1314,0.96824,0.921026,0.852129,NS,HR↓ LR↑
EIF1,0.0179,0.2057,0.998913,0.796866,0.89694,NS,Concordant Up
RARS1,-0.1452,0.078,0.9003,0.968649,0.823059,NS,HR↓ LR↑
SH3BGR,0.2137,-0.0092,0.791501,0.999638,0.83526,NS,HR↑ LR↓
GSTP1,0.1466,-0.0755,0.842398,0.955203,0.732642,NS,HR↑ LR↓
YWHAQ,0.2121,-0.0095,0.826416,0.999681,0.864314,NS,HR↑ LR↓
AP2A1,-0.0762,0.1449,0.979146,0.899461,0.855262,NS,HR↓ LR↑
HSPE1,-0.0976,-0.1231,0.941107,0.884929,0.997413,NS,Concordant Down
FAHD1,-0.1388,0.0819,0.937526,0.975809,0.880233,NS,HR↓ LR↑
EIF5B,0.1357,-0.0838,0.929144,0.974867,0.871079,NS,HR↑ LR↓
HADH,-0.1295,-0.0898,0.918083,0.955685,0.994942,NS,Concordant Down
CUL1,-0.1369,0.0822,0.922494,0.969012,0.849625,NS,HR↓ LR↑
NXN,0.1288,-0.0897,0.95699,0.977714,0.907985,NS,HR↑ LR↓
ATP5PB,-0.1691,-0.0488,0.73257,0.978034,0.907131,NS,Concordant Down
PMM2,0.1562,-0.0613,0.915175,0.986311,0.87809,NS,HR↑ LR↓
ARPC5L,-0.0389,-0.1777,0.995516,0.872518,0.953433,NS,Concordant Down
GSS,0.1536,0.0626,0.900989,0.983115,0.976417,NS,Concordant Up
USP47,-0.1348,-0.0802,0.917908,0.965709,0.990767,NS,Concordant Down
ETFA,-0.1386,-0.0759,0.853275,0.952515,0.98056,NS,Concordant Down
AP2B1,0.1388,-0.0747,0.934173,0.978948,0.882098,NS,HR↑ LR↓
UQCRC1,-0.1236,-0.0897,0.886977,0.93282,0.994677,NS,Concordant Down
ATIC,0.1823,0.0307,0.83814,0.995502,0.920684,NS,Concordant Up
PFDN4,-0.0786,-0.1343,0.97378,0.903316,0.990562,NS,Concordant Down
METTL26,0.0898,0.1228,0.981039,0.942068,0.997988,NS,Concordant Up
CCT4,0.1207,0.0908,0.908932,0.941397,0.996459,NS,Concordant Up
ATP2A1,-0.1578,-0.0536,0.854925,0.982854,0.956641,NS,Concordant Down
TIMM21,-0.1186,-0.0927,0.957919,0.964552,0.99853,NS,Concordant Down
GSTM2,0.1922,-0.0187,0.829173,0.998456,0.850237,NS,HR↑ LR↓
SDHB,-0.1939,0.0169,0.731114,0.998156,0.770073,NS,HR↓ LR↑
CFL2,-0.0266,-0.1837,0.995731,0.696513,0.867144,NS,Concordant Down
LMAN1,0.093,-0.1167,0.958751,0.919617,0.83295,NS,HR↑ LR↓
TNNI2,-0.1974,-0.0121,0.921695,0.999699,0.949466,NS,Concordant Down
SGCD,0.1481,-0.0607,0.862372,0.975846,0.797072,NS,HR↑ LR↓
GPS1,-0.1174,0.0911,0.930706,0.952348,0.832211,NS,HR↓ LR↑
LYPLA1,-0.0407,-0.1676,0.992629,0.826788,0.941431,NS,Concordant Down
AKT2,0.0868,-0.121,0.980744,0.943511,0.905555,NS,HR↑ LR↓
VDAC2,-0.1362,0.0714,0.901895,0.970735,0.828438,NS,HR↓ LR↑
EIF3C,0.131,-0.0764,0.907726,0.963675,0.821326,NS,HR↑ LR↓
SOD1,-0.0219,0.1848,0.998339,0.833479,0.871275,NS,HR↓ LR↑
GNB1,0.1266,0.08,0.923291,0.965926,0.99309,NS,Concordant Up
CCT6A,0.0717,0.1348,0.978292,0.902244,0.987776,NS,Concordant Up
HSPA8,0.183,-0.0229,0.717571,0.995988,0.741587,NS,HR↑ LR↓
CAPZA2,0.0808,0.1223,0.979437,0.942326,0.996145,NS,Concordant Up
SEC31A,0.0813,-0.1215,0.975907,0.93518,0.881564,NS,HR↑ LR↓
COQ6,-0.0611,-0.1415,0.984821,0.893977,0.980146,NS,Concordant Down
CKB,-0.1133,-0.0889,0.932971,0.95282,0.997985,NS,Concordant Down
RNH1,0.1106,0.0915,0.914733,0.932715,0.998423,NS,Concordant Up
ESD,-0.0175,-0.1844,0.998686,0.787444,0.895042,NS,Concordant Down
SQOR,0.0306,0.1711,0.997286,0.869882,0.950956,NS,Concordant Up
RPL23,0.1461,-0.0555,0.940412,0.990576,0.914272,NS,HR↑ LR↓
VDAC1,-0.1577,0.0431,0.84947,0.988751,0.820523,NS,HR↓ LR↑
ACO2,0.0352,-0.1656,0.992787,0.770261,0.792625,NS,HR↑ LR↓
LMNA,0.1192,0.0814,0.971595,0.984931,0.99798,NS,Concordant Up
HSPA2,-0.1426,-0.058,0.928563,0.987316,0.982443,NS,Concordant Down
TPT1,-0.1168,-0.0829,0.929859,0.960176,0.99612,NS,Concordant Down
NDRG2,-0.149,-0.0502,0.873636,0.985323,0.961825,NS,Concordant Down
ATP5F1C,0.0197,-0.1789,0.997997,0.75466,0.815072,NS,HR↑ LR↓
UBE2V2,0.0663,-0.1322,0.977624,0.884473,0.834982,NS,HR↑ LR↓
SPEG,-0.0239,-0.1743,0.998515,0.909769,0.955052,NS,Concordant Down
UCHL3,-0.1292,-0.0688,0.899521,0.969234,0.985428,NS,Concordant Down
MSI2,0.1909,0.007,0.844875,0.999795,0.893824,NS,Concordant Up
NSFL1C,0.1552,-0.0422,0.809311,0.986219,0.774752,NS,HR↑ LR↓
SNX5,0.1293,-0.068,0.925558,0.975328,0.863719,NS,HR↑ LR↓
PSMD3,-0.0022,0.1937,0.999971,0.652845,0.782708,NS,HR↓ LR↑
NDUFS3,-0.1522,-0.0433,0.903005,0.991906,0.965152,NS,Concordant Down
NSF,0.0099,0.1853,0.999669,0.835165,0.910005,NS,Concordant Up
NDUFA13,-0.1334,-0.0605,0.926494,0.983714,0.984883,NS,Concordant Down
PABPC4,0.0107,0.183,0.999556,0.811141,0.898479,NS,Concordant Up
HADHB,-0.1209,-0.0725,0.874886,0.95083,0.987306,NS,Concordant Down
AARS1,-0.1809,-0.0112,0.865339,0.999597,0.923314,NS,Concordant Down
RRAS,0.0097,-0.1822,0.999726,0.864604,0.907142,NS,HR↑ LR↓
