pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_ADULT_BEHAVIOR,0.9918104816322313,-0.5559507586633201,10,GO:BP,0.9693649827551227,-0.21112844513780551,0.015084236939089387,Acute_HR
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,0.9918104816322313,-0.5559507586633201,10,GO:BP,0.9693649827551227,-0.21112844513780551,0.015084236939089387,Acute_HR
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,0.6655508426541717,-1.045069054743598,30,GO:BP,0.38821308724832215,-0.291954492783756,0.030275960856857156,Acute_HR
GOBP_ALCOHOL_CATABOLIC_PROCESS,0.6766499259545425,1.0437709244640696,10,GO:BP,0.4015375517445299,0.40280940253028485,0.028529035859604573,Acute_HR
GOBP_ALCOHOL_METABOLIC_PROCESS,0.68310218861907,-1.0150020344446042,69,GO:BP,0.41467065868263475,-0.23617734068903926,0.029420643677113133,Acute_HR
GOBP_ALDEHYDE_METABOLIC_PROCESS,0.8348761500353856,0.8934731214003179,28,GO:BP,0.6194707359474599,0.25856113638518496,0.020999590625255547,Acute_HR
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.1598562134864168,-1.5858598412899,13,GO:BP,0.03225139549307422,-0.5560169424046192,0.11479040423284313,Acute_HR
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7168829420592028,1.0020111115333612,16,GO:BP,0.4496995541771661,0.3363067810905544,0.02625278438302249,Acute_HR
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.2197052446052342,1.538386269771311,10,GO:BP,0.05282870096589789,0.5936900900986027,0.08702116448082649,Acute_HR
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.06904507583849605,1.6749260387128515,33,GO:BP,0.009033250048049203,0.465735953021933,0.2110705378683249,Acute_HR
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,0.07374147433865409,-1.6222675837646687,42,GO:BP,0.009842931937172774,-0.4184948482791367,0.2110705378683249,Acute_HR
GOBP_AMIDE_METABOLIC_PROCESS,0.06464501696875877,-1.5074458098475145,109,GO:BP,0.008124866367329484,-0.3223266789370099,0.23514199556110812,Acute_HR
GOBP_AMIDE_TRANSPORT,0.7093921435114825,1.0052920838452322,38,GO:BP,0.4404853620955316,0.2712172358198193,0.026498292629130466,Acute_HR
GOBP_AMINE_METABOLIC_PROCESS,0.8691134171112466,-0.8620031686689426,16,GO:BP,0.6607474705760892,-0.2844717796089872,0.021033377163281866,Acute_HR
GOBP_AMINO_ACID_ACTIVATION,0.7623075043068485,0.952885638440196,25,GO:BP,0.526407428903076,0.28377436217508883,0.02359961962354222,Acute_HR
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.12913959878651185,-1.6147276930096106,16,GO:BP,0.023745612223828205,-0.5328802458158622,0.13405093433856183,Acute_HR
GOBP_AMINO_ACID_TRANSPORT,0.5067848205763228,-1.1983971148867714,11,GO:BP,0.23547215496368037,-0.44137234794580144,0.03970086714662318,Acute_HR
GOBP_AMP_BIOSYNTHETIC_PROCESS,0.7435360754670346,-0.9702524519854168,10,GO:BP,0.49218908500710085,-0.3684640921641026,0.02549496129410239,Acute_HR
GOBP_AMP_METABOLIC_PROCESS,0.7009526333128672,-1.0146561447907003,16,GO:BP,0.4332025603964485,-0.33484916261445785,0.02800326581878029,Acute_HR
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,0.794372547382483,0.9135413043963256,13,GO:BP,0.569215876089061,0.32525268055757917,0.022359395217014768,Acute_HR
GOBP_AMYLOID_FIBRIL_FORMATION,0.4523243265827858,1.2408708825181518,18,GO:BP,0.19102439024390244,0.40261866156232,0.04380610676728307,Acute_HR
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,0.4523243265827858,1.2616823787080964,12,GO:BP,0.190625,0.4615776718388457,0.04388070831180671,Acute_HR
